what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342408616048
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342408621535
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1342408621803
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342408621809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1342408622850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342408623393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342408624764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342410416117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342413076085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342413121565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342413129776
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342413131957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1342413133826
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342413138480
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342413140791
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342413141718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342413146587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342413264314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1342413265694
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342413268120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1342413268584
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342413270369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342413708610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342413718159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342413719467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342413761823
